"First Data (ICICI)","First Data (ICICI)"
"You will be redirected to ICICI website when you place an order.","You will be redirected to ICICI website when you place an order."
"Payment has not been processed yet.","Payment has not been processed yet."
"First Data ICICI Transaction ID : %s","First Data ICICI Transaction ID : %s"
"No order for processing found","No order for processing found"
"Invalid data","Invalid data"
"You transaction could not be completed","You transaction could not be completed"
"The customer was redirected to ICICI.","The customer was redirected to ICICI."
"First Data ICICI Payment Settings","First Data ICICI Payment Settings"
"Enabled","Enabled"
"Title","Title"
"Merchant Id","Merchant Id"
"Merchant Key Path","Merchant Key Path"
"Absolute Path to .key file, For eg: ""key/xxxxxx.key"" ","Absolute Path to .key file, For eg: ""key/xxxxxx.key"" "
"New Order Status","New Order Status"
"Sort Order","Sort Order"